0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	1
14	0
15	0
16	1
17	0
18	0
19	0
20	2
21	1
22	21
23	81
24	82
25	78
26	78
27	86
28	74
29	106
30	123
31	142
32	187
33	198
34	242
35	246
36	235
37	188
38	216
39	155
40	146
41	146
42	153
43	128
44	101
45	61
46	96
47	60
48	79
49	61
50	69
51	66
52	67
53	72
54	81
55	75
56	82
57	106
58	77
59	71
60	80
61	90
62	86
63	73
64	87
65	82
66	84
67	77
68	76
69	67
70	85
71	82
72	70
73	76
74	85
75	94
76	91
77	93
78	76
79	99
80	94
81	88
82	103
83	98
84	111
85	113
86	99
87	102
88	122
89	119
90	134
91	111
92	113
93	110
94	97
95	91
96	91
97	69
98	60
99	77
100	71
101	70
102	77
103	75
104	70
105	65
106	62
107	59
108	63
109	60
110	72
111	62
112	68
113	78
114	83
115	88
116	88
117	86
118	91
119	91
120	88
121	58
122	76
123	66
124	81
125	80
126	74
127	54
128	62
129	51
130	70
131	48
132	75
133	66
134	64
135	57
136	54
137	74
138	77
139	64
140	79
141	94
142	89
143	87
144	91
145	84
146	95
147	78
148	69
149	81
150	72
151	74
152	77
153	58
154	57
155	58
156	61
157	59
158	62
159	37
160	52
161	36
162	58
163	63
164	56
165	54
166	65
167	61
168	83
169	101
170	87
171	85
172	105
173	102
174	87
175	101
176	96
177	87
178	88
179	78
180	72
181	82
182	69
183	64
184	55
185	53
186	53
187	42
188	58
189	42
190	32
191	35
192	34
193	51
194	37
195	26
196	29
197	35
198	22
199	34
200	24
201	39
202	26
203	32
204	22
205	40
206	34
207	19
208	34
209	32
210	31
211	27
212	29
213	28
214	29
215	28
216	23
217	25
218	28
219	25
220	31
221	23
222	29
223	28
224	32
225	32
226	21
227	25
228	29
229	13
230	24
231	36
232	26
233	29
234	25
235	29
236	19
237	30
238	29
239	16
240	32
241	22
242	29
243	23
244	23
245	25
246	29
247	21
248	24
249	27
250	25
251	25
252	20
253	20
254	38
255	22
256	23
257	21
258	21
259	21
260	19
261	33
262	25
263	27
264	20
265	16
266	19
267	29
268	22
269	30
270	15
271	20
272	19
273	19
274	16
275	25
276	20
277	21
278	22
279	24
280	20
281	21
282	20
283	20
284	21
285	30
286	25
287	24
288	26
289	27
290	42
291	31
292	33
293	40
294	39
295	24
296	46
297	40
298	43
299	41
300	56
301	43
302	50
303	47
304	46
305	47
306	43
307	47
308	52
309	43
310	45
311	35
312	28
313	37
314	42
315	23
316	21
317	35
318	26
319	20
320	23
321	24
322	18
323	31
324	19
325	31
326	18
327	9
328	25
329	16
330	12
331	21
332	16
333	28
334	25
335	12
336	16
337	15
338	14
339	12
340	16
341	17
342	17
343	10
344	15
345	16
346	12
347	11
348	14
349	16
350	18
351	10
352	11
353	14
354	11
355	17
356	13
357	11
358	14
359	22
360	9
361	16
362	11
363	14
364	21
365	12
366	15
367	14
368	13
369	20
370	21
371	8
372	18
373	8
374	13
375	22
376	18
377	22
378	13
379	21
380	12
381	11
382	12
383	15
384	6
385	19
386	10
387	18
388	15
389	17
390	17
391	20
392	13
393	18
394	12
395	18
396	16
397	14
398	8
399	17
400	13
401	20
402	18
403	12
404	18
405	9
406	21
407	10
408	12
409	15
410	19
411	17
412	11
413	7
414	7
415	10
416	6
417	15
418	16
419	12
420	3
421	12
422	13
423	13
424	11
425	8
426	17
427	16
428	14
429	14
430	9
431	16
432	13
433	13
434	13
435	10
436	7
437	13
438	15
439	12
440	15
441	16
442	11
443	16
444	8
445	11
446	8
447	11
448	6
449	6
450	12
451	9
452	12
453	12
454	12
455	11
456	12
457	7
458	6
459	16
460	11
461	15
462	9
463	18
464	16
465	11
466	7
467	13
468	16
469	12
470	10
471	11
472	17
473	7
474	11
475	15
476	13
477	8
478	17
479	11
480	9
481	10
482	12
483	8
484	9
485	11
486	13
487	9
488	9
489	6
490	15
491	15
492	13
493	6
494	9
495	7
496	7
497	9
498	12
499	12
500	13
501	9
502	10
503	13
504	7
505	11
506	6
507	9
508	10
509	9
510	6
511	9
512	8
513	12
514	10
515	10
516	6
517	11
518	11
519	9
520	10
521	4
522	7
523	9
524	7
525	15
526	13
527	10
528	9
529	10
530	10
531	7
532	12
533	6
